unique_id,story,selected_sentence,worker_ids,1_specificNL,1_generalNL,2_specificNL,2_generalNL,3_specificNL,3_generalNL,4_specificNL,4_generalNL,5_specificNL,5_generalNL,6_specificNL,6_generalNL,7_specificNL,7_generalNL,8_specificNL,8_generalNL,9_specificNL,9_generalNL,10_specificNL,10_generalNL
00294500-d3fe-4bf5-883f-55118bca417c__3,Meg went shopping.****She found a sweater she really liked.****The sweater was too expensive for Meg to buy.****Three weeks later the sweater went on sale.****Meg was very happy to finally be able to buy the sweater.,Three weeks later the sweater went on sale.,A2MHM7JK1T9XHR****A2CMYWI1J292YJ****AGTKQI9PCODC5,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,The sweater went on  sale >Causes/Enables> Meg bought the sweater****the sweater goes on sale >Causes/Enables> Meg can buy the sweater****The sweater  went  on  sale >Causes/Enables> Meg  bought  the sweater,Something_A goes on  sale >Causes/Enables> Someone_A buys Something_A****Something_A goes on sale >Causes/Enables> Someone_A can buy Something_A****Something_A (that is expensive) goes  on  sale >Causes/Enables> Someone_A buys  Something_A,The sweater goes on  sale >Causes> Meg feel(s) happy****the sweater goes on sale >Causes> Meg feel(s) happy****The sweater went  on  sale >Causes> Meg feel(s) fortunate,Something_A goes  on  sale >Causes> Someone_A (who wants Something_A) feel(s) happy****Something_A (that is the merchandise Someone_A wanted to buy) goes on sale >Causes> Someone_A feel(s) happy****Something_A (that is expensive) goes  on  sale >Causes> Someone_A (who wants Something_A) feel(s) fortunate,escaped,escaped,escaped,escaped,escaped,escaped
013fe112-3557-4e5f-8617-cb5eac764df1__1,"The football team had worked hard all season.****They won regionals and were on the way to the state play-offs.****During practice, the quarterback broke his arm.****The team had to use the second string quarterback.****Luckily, the team still won the play-offs.",They won regionals and were on the way to the state play-offs.,A2NGMLBFZ3YQP5****A2MHM7JK1T9XHR****A33DSCVAUOWIQY,The football team had worked hard all season. >Causes/Enables> They won regionals and were on their way to the playoffs.****The football team worked hard all season >Causes/Enables> They  won regionals and were on the way to the  state play-offs****The football team works  hard all season >Causes/Enables> They win regionals and are on their way to the playoffs,Some People_A (who are a team) work hard >Causes/Enables> Some People_A achieve success.****A team works hard >Causes/Enables> The team  wins  Something_A (that is a competition)****Some People_A (who are a team) work hard >Causes/Enables> Some People_A win Something_A (that is a competition),escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
013fe112-3557-4e5f-8617-cb5eac764df1__3,"The football team had worked hard all season.****They won regionals and were on the way to the state play-offs.****During practice, the quarterback broke his arm.****The team had to use the second string quarterback.****Luckily, the team still won the play-offs.",The team had to use the second string quarterback.,A33DSCVAUOWIQY****A2MHM7JK1T9XHR****A1UYU9PV266WTT,The quarterback breaks his arm >Causes/Enables> The team has to use The second string quarterback****The quarterback broke his arm >Causes/Enables> The football team had to use the second-string quarterbeck****The quarterback breaks his arm >Causes/Enables> The team has to use the second string quarterback,Someone_A (who is the first choice to play in a sports game) breaks Something_A (that is a body part) >Causes/Enables> Some People_A (who are part of the sports team) have to use Someone_B (who is a replacement for Someone_A )****Someone_A (who is on a team) is  injured >Causes/Enables> Someone_B (who is a back-up for Someone_A) plays instead****Someone_A (who is an integral part of Some People A) breaks Something_A (that is a part of Someone A's body) >Causes/Enables> Some People_A (that are playing a sports game) have to use Someone_B (who is an alternate to Someone A),The team want(s) a quarterback >Motivates> The team has to use the second string quarterback****The team want(s) the quarterback to recover >Motivates> The team uses the second string quarterback****The team want(s) to have a quarterback >Motivates> The team has to use a second string quarterback,Some People_A want(s) Someone_B (who is on the team) to recover >Motivates> Some People_A have to use Someone_A (who is a replacement for an injured player in a sports game)****A sports team want(s) Someone_A who is on the team to recover from an injury >Motivates> Someone_B (who is a replacement for Someone_A) plays  instead****Some People_A want(s) success >Motivates> Some People_A have to use Someone_A (who is a replacement for an injured player in a sports game),escaped,escaped,escaped,escaped,escaped,escaped,The team has to use the second string quarterback >Causes/Enables> The team wins the play-offs****The team used the second string quarterback >Causes/Enables> The team still won the play-offs****The team has to use the second string quarterback >Causes/Enables> The team still wins the playoffs,Some People_A (who are a sports team) use Someone_A (who is a replacement for an injured player in a sports game) >Causes/Enables> Some People_A win the play-offs****A team uses Someone_A (who is not as skilled) instead of  Someone_B (who is injured) >Causes/Enables> The team still wins****Some People_A (that are competing in a sport) have to use Someone_A (who is an alternate player) >Causes/Enables> Some People_A (that are competing in a sport) still win Something_A (that is a special game),escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
01f094f4-e770-42e4-b6cd-6604ac58d810__3,Aaron was coming home from a football game.****He hears a loud noise coming from his car.****He pulled over to see what was wrong.****He pops his hood and smoke flies everywhere.****He called for help and waited to get picked up.,He pops his hood and smoke flies everywhere.,A1NPSBHME4MVX4****ATR6RB1RULOC0****A33DSCVAUOWIQY,escaped,escaped,escaped,escaped,escaped,escaped,Aaron possess(es) a car >Enables> Aaron pops the hood on his car****Aaron possess(es) a car >Enables> Aaron opens the hood of  the car****Aaron possess(es) a car >Enables> Aaron pops the hood of his car,*Someone_A possess(es) Something_A >Enables> Someone_A opens Something_B (that is part of Something_A)****Someone_A possess(es) Something_A >Enables> Someone_A opens Something_B (that is part of Something_A)****Someone_A possess(es) Something_A (that can be opened) >Enables> Someone_A opens Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
035e99b6-c39f-4fe7-b5ef-a19fdc4f138f__2,"Martin heard a noise.****He looked up to see a man in a clown mask standing at her window.****He screamed and ran upstairs.****He called the police.****When they arrived, they said he must have been imagining it.",He screamed and ran upstairs.,A3PPLDHC3CG0YN****A3L0I55SEJU1HJ****A39TKG862PLGK3,escaped,escaped,Martin  feel(s) scared >Motivates> Martin screamed and ran upstairs****Martin feel(s) scared >Motivates> Martin screamed and ran upstairs.****Martin feel(s) fearful >Motivates> Martin screams and runs away,Someone_A feel(s) scared >Motivates> Someone_A screamed and ran away****Someone_A feel(s) scared >Motivates> Someone_A screamed and ran away.****Someone_A feel(s) fearful >Motivates> Someone_A screams and runs away,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
03a217c1-213e-4152-9526-adb8ddb0c165__1,When I was a kid I wanted to be really good at playing violin.****I practiced all the time to be really good.****After a few months of practicing I did get really good.****I was so good that people wanted me to play for them.****I'm really glad that I practiced so hard.,I practiced all the time to be really good.,A2CMYWI1J292YJ****A1UYU9PV266WTT****AGTKQI9PCODC5,i want to be good at playing violin >Causes/Enables> i practices a lot****I get a violin >Causes/Enables> I practice  all the time****I  wanted to be  really good  at  playing violin >Causes/Enables> I  practiced  all the time,Someone_A wants to become good at Something_A >Causes/Enables> Someone_A practices Something_A a lot****Someone_A wants to get good at Something_A  >Causes/Enables> Someone_A practices Something_A ****Someone_A want to be  good at  Something_A (that is an activity) >Causes/Enables> Someone_A practices  Something_A (that is an activity),escaped,escaped,escaped,escaped,I possess(es) a violin >Enables> I practice violin****I possess(es) a violin >Enables> I  practice all the time****I possess(es) a violin >Enables> I  practiced playing violin,Someone_A possess(es) Something_A(that is a musical instrument) >Enables> Someone_A practices Something_A****Someone_A possess(es) Something_A (that is a musical instrument) >Enables> Someone_A practices playing Something_A****Someone_A possess(es) Something_A (that is a musical instrument) >Enables> Someone_A practices playing Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
03a217c1-213e-4152-9526-adb8ddb0c165__3,When I was a kid I wanted to be really good at playing violin.****I practiced all the time to be really good.****After a few months of practicing I did get really good.****I was so good that people wanted me to play for them.****I'm really glad that I practiced so hard.,I was so good that people wanted me to play for them.,A1UYU9PV266WTT****A1NPSBHME4MVX4****ATR6RB1RULOC0,escaped,escaped,People like(s) to hear me play violin >Motivates> People want me to play for  them****People feel(s) curiosity >Motivates> People want to hear me play the violin****People feel(s) amazed >Motivates> People want me to  hear me play violin,Some People_A (who know that Someone_A plays an instrument) feel(s) curiosity >Motivates> Some People_A want to hear Someone_A play the instrument*****Some People_A (who know that Someone_A plays an instrument) feel(s) curiosity >Motivates> Some People_A want to hear Someone_A (who is a child) play the instrument****Some People_A feel(s) amazed >Motivates> Some People_A want to hear Someone_A play an instrument,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,People want me to play for  them >Causes> I feel(s) proud****People want to hear me play violin >Causes> I feel(s) happy****People want to  hear me play >Causes> I feel(s) proud,Some People_A want Someone_A to play Something_A (that is an instrument) for  them >Causes> Someone_A feel(s) proud****Some People_A want to hear Someone_A play an instrument >Causes> Someone_A feel(s) happy****Some People_A want  to  hear Someone_A (who practiced an instrument) play an instrument >Causes> Someone_A feel(s) proud,escaped,escaped,escaped,escaped,escaped,escaped
03fc6dd3-1416-4d4c-a7a9-ffb9f1b16707__0,Last night I had dinner with my parents.****When I got there I was surprised to see my grandparents.****I didn't know they were going to be there.****I had a great time catching up with them.****I always have a fun time seeing my grandparents.,Last night I had dinner with my parents.,A1UYU9PV266WTT****A1UOGYZFJF4BKW****ATR6RB1RULOC0,My parents invite me to  dinner >Causes/Enables> I have dinner with my parents****My parents cook dinner >Causes/Enables> I have dinner with my parents****My parents invite me  to  dinner >Causes/Enables> I have dinner with  my parents,Someone_A and Someone_B invite Someone_C to  Something_A (that is an event) >Causes/Enables> Someone_C goes to Something_A (that is an event) with Someone_A and Someone_B****Someone_A and Someone_B invite Someone_C to  do Something_A >Causes/Enables> Someone_C does Something_A with Someone_A and Someone_B****Someone_A and Someone_B invite Someone_C to  do Something_A >Causes/Enables> Someone_C does Something_A with Someone_A and Someone_B,escaped,escaped,I am at my parent's house >Enables> I have dinner with my parents****I am at my parents' house >Enables> I have dinner with my parents****I am at my parent's house >Enables> I have dinner  with  my parents,Someone_C is at Somewhere_A (that is Someone _A and Someone_B's location) >Enables> Someone_C does Something_A with Someone_A and Someone_B****Someone_A is at Somewhere_A >Enables> Someone_A does Something_A with Some People_A (who lives at Somewhere_A)****Someone_A is at Somewhere_A (that is the location of Some People_A) >Enables> Someone_A does Something_A with  Some People_A,escaped,escaped,escaped,escaped,I have dinner with  my parents >Causes/Enables> I see my grandparents****I have dinner with my parents >Causes/Enables> I see my grandparents there****I  have dinner with my family >Causes/Enables> I  catch up with  my family,Someone_A goes  to  Something_A with Someone_A and Someone_B >Causes/Enables> Someone_A sees Some People_A at Something_A (that is an event)****Someone_A goes to an event with Some People_A >Causes/Enables> Someone_A sees Some People_B (who are related to Some People_A) there****Someone_A spends time with  Some People_A (who Someone_A hasn't seen for awhile ) >Causes/Enables> Someone_A catches up with  Some People_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
03fc6dd3-1416-4d4c-a7a9-ffb9f1b16707__3,Last night I had dinner with my parents.****When I got there I was surprised to see my grandparents.****I didn't know they were going to be there.****I had a great time catching up with them.****I always have a fun time seeing my grandparents.,I had a great time catching up with them.,A1UYU9PV266WTT****A1NPSBHME4MVX4****ATR6RB1RULOC0,My grandparents are at my parent's house >Causes/Enables> I have a great time actching up with my grandparents****I see my grandparents at my parents house >Causes/Enables> I catch up with my grandparents****My grandparents were at dinner >Causes/Enables> I  catch up with  my grandparents,Someone_A and Someone_B are at Somewhere_A (that is Someone_C's location) >Causes/Enables> Someone_C has a great time with Someone_A and Someone_B****Someone_A sees Some People_A at Somewhere_A >Causes/Enables> Someone_A catches up with Some People_A****Someone_A and Someone_B (who Someone_C doesn't see often) are at  Something_A (that Someone_C attends ) >Causes/Enables> Someone_C catches up with  Someone_A and Someone_B,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,I have a great time catching up with my grandparents >Causes> I feel(s) happy****I catch up with my grandparents during dinner >Causes> I feel(s) happy****I  catch up with  my grandparents >Causes> I feel(s) happy,Someone_C has a great time with Someone_A and Someone_B >Causes> Someone_C feel(s) happy****Someone_A (who runs into Some People_A at Somewhere_A where Someone_A went) catches up with Some People_A  >Causes> Someone_A feel(s) happy****Someone_C spends time  with  Someone_A and Someone_B (who Someone_C enjoys) >Causes> Someone_C feel(s) happy,escaped,escaped,escaped,escaped,escaped,escaped
040edc34-88d9-4b86-bdc3-cc3b00c61b13__3,The man laid down for a nap.****His cat jumped on his stomach.****That woke the man up.****The man petted the cat.****The cat took a nap with the man.,The man petted the cat.,A3PPLDHC3CG0YN****A1UYU9PV266WTT****A1NPSBHME4MVX4,escaped,escaped,The cat want(s) love  >Motivates> The man  pet  the cat****The man like(s) the cat >Motivates> The man pets the cat****The man feel(s) affection >Motivates> The man pets the cat,Something_A (that is a pet) want(s) love  >Motivates> Someone_A pets  Something_A****Someone_A like(s) Something_A (that is a pet) >Motivates> Someone_A pets Something_A ****Someone_A feel(s) affection >Motivates> Someone_A pets Something_A (that is a pet),escaped,escaped,The man  possess(es) a cat >Enables> The man  pet  the cat****The man possess(es) a cat >Enables> The man pets the cat****The man possess(es) a cat >Enables> The man pets the cat,Someone_A possess(es) a pet >Enables> Someone_A pets a pet****Someone_A possess(es) Something_A (that is a pet) >Enables> Someone_A pets Something_A ****Someone_A possess(es) Something_A (that is a pet) >Enables> Someone_A pets Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
